Module,Capability,Legacy evidence,API hotovo,UI hotovo,Test hotovo,Runtime prokazano,Manifest pass,Current evidence,Notes
Auth,Admin cookie login/session + guard,"legacy/hotel-backend/app/security/admin_auth.py; legacy/hotel-backend/app/web/routes.py",YES,YES,YES,YES,YES,"apps/kajovo-hotel-api/app/api/routes/auth.py; apps/kajovo-hotel-admin/src/main.tsx; apps/kajovo-hotel-api/tests/test_auth_constraints.py; deploy workflow live login verify",Admin login/logout/hint flow is implemented and production deploy gate verifies live admin login.
Auth,Portal user login/forgot/reset,"legacy/hotel-backend/app/web/routes.py; legacy/hotel-backend/app/security/user_auth.py",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/api/routes/auth.py; apps/kajovo-hotel-web/src/portal/PortalLoginPage.tsx; apps/kajovo-hotel-api/tests/test_auth_role_selection.py",API and UI are implemented; runtime proof is still indirect and based on automated tests rather than dedicated live portal smoke.
Auth,Role-based module permissions,"legacy/hotel-backend/app/db/models.py (PortalUserRole); app/api/reports.py device role checks",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/security/rbac.py; apps/kajovo-hotel-web/src/rbac.ts; apps/kajovo-hotel-api/tests/test_rbac.py",RBAC is covered by API/UI tests; no dedicated live runtime matrix proof for every module-role pair.
Device,Device register/challenge/verify/token,"legacy/hotel-backend/app/api/device.py",YES,NO,YES,NO,NOT_APPLICABLE,"apps/kajovo-hotel-api/app/api/routes/device.py; apps/kajovo-hotel-api/tests/test_device_provisioning.py",Secure handshake exists and is tested; no live runtime proof on hotel.hcasc.cz.
Reports,Create/list/detail/update/delete reports,"legacy/hotel-backend/app/api/reports.py + web routes",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/api/routes/reports.py; apps/kajovo-hotel-web/src/main.tsx; apps/kajovo-hotel-api/tests/test_reports.py",Feature is implemented; live runtime proof remains partial.
Reports,Photo thumbs/media authorization,"legacy/hotel-backend/app/api/reports.py; /api/internal/media-auth",YES,YES,YES,NO,YES,"apps/kajovo-hotel-api/app/api/routes/reports.py; apps/kajovo-hotel-api/tests/test_reports.py",Media pipeline is code-complete and tested but not runtime-proven on production.
Breakfast,Daily view/check/note/import/export workflow,"legacy/hotel-backend/app/web/routes_admin.py; app/api/breakfast.py",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/api/routes/breakfast.py; apps/kajovo-hotel-admin/src/main.tsx; apps/kajovo-hotel-api/tests/test_breakfast.py",PDF preview/save/export, diet toggles, summary, reactivation and role restrictions are covered by tests; production runtime proof is still partial.
Breakfast,Background mail scheduler import,"legacy/hotel-backend/app/services/breakfast/scheduler.py",YES,NO,YES,YES,NOT_APPLICABLE,"apps/kajovo-hotel-api/app/services/breakfast/scheduler.py; apps/kajovo-hotel-api/app/services/breakfast/mail_fetcher.py; apps/kajovo-hotel-api/tests/test_breakfast_imap_smoke.py; scripts/run_breakfast_runtime_smoke.py",Scheduler now has deterministic runtime smoke artifact and retry/logging guards; proof is archival smoke, not a real hotel mailbox.
Lost&Found,Findings workflow/list/detail,"legacy/hotel-backend/app/web/routes.py (/admin/reports/findings)",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/api/routes/lost_found.py; web routes /ztraty-a-nalezy*",Dedicated module with CRUD and tests; runtime proof remains partial.
Issues,Issues workflow/list/detail,"legacy/hotel-backend/app/web/routes.py (/admin/reports/issues)",YES,YES,YES,PARTIAL,YES,"apps/kajovo-hotel-api/app/api/routes/issues.py; web routes /zavady*",Dedicated module with CRUD and tests; runtime proof remains partial.
